label,value
Bitcoin,XBTUSD
Bitcoin Cash,BCHM20
Cardano,ADAM20
EOS Token,EOSM20
Ethereum,ETHUSD
Litecoin,LTCM20
Ripple,XRPUSD
Tron,TRXM20
